id,feedback,category,predicted_category
255,Water supply in the hostel has been irregular during weekends. This needs urgent attention.,Hostel & Accommodation,Hostel & Accommodation
256,I wish there were more single occupancy rooms in the hostel. This needs urgent attention.,Hostel & Accommodation,Hostel & Accommodation
257,The new security system in hostels has made students feel much safer. It makes a real difference in daily student life.,Hostel & Accommodation,Hostel & Accommodation
258,"Water supply in the hostel has been irregular during weekends. Overall, the experience has been mixed.",Hostel & Accommodation,Hostel & Accommodation
259,"Mess food is improving, but the quality can still be inconsistent. Overall, the experience has been mixed.",Hostel & Accommodation,Facility
260,Water supply in the hostel has been irregular during weekends. It makes a real difference in daily student life.,Hostel & Accommodation,Hostel & Accommodation
261,Water supply in the hostel has been irregular during weekends. This needs urgent attention.,Hostel & Accommodation,Hostel & Accommodation
262,Water supply in the hostel has been irregular during weekends. Such improvements would greatly benefit everyone.,Hostel & Accommodation,Hostel & Accommodation
263,"I wish there were more single occupancy rooms in the hostel. It’s a step in the right direction, but more can be done.",Hostel & Accommodation,Hostel & Accommodation
264,"Water supply in the hostel has been irregular during weekends. Overall, the experience has been mixed.",Hostel & Accommodation,Hostel & Accommodation
265,"The hostel rooms are cleaned regularly, and the warden is responsive to issues. It’s a step in the right direction, but more can be done.",Hostel & Accommodation,Hostel & Accommodation
266,"The hostel rooms are cleaned regularly, and the warden is responsive to issues. It’s a step in the right direction, but more can be done.",Hostel & Accommodation,Hostel & Accommodation
267,"Water supply in the hostel has been irregular during weekends. It’s a step in the right direction, but more can be done.",Hostel & Accommodation,Hostel & Accommodation
268,"Mess food is improving, but the quality can still be inconsistent. It makes a real difference in daily student life.",Hostel & Accommodation,Facilities
269,Water supply in the hostel has been irregular during weekends. This needs urgent attention.,Hostel & Accommodation,Hostel & Accommodation
270,"The hostel rooms are cleaned regularly, and the warden is responsive to issues. This needs urgent attention.",Hostel & Accommodation,Hostel & Accommodation
271,The new security system in hostels has made students feel much safer. It makes a real difference in daily student life.,Hostel & Accommodation,Hostel & Accommodation
272,"The new security system in hostels has made students feel much safer. Overall, the experience has been mixed.",Hostel & Accommodation,Hostel & Accommodation
273,"Mess food is improving, but the quality can still be inconsistent. This needs urgent attention.",Hostel & Accommodation,Facilities
274,The new security system in hostels has made students feel much safer. This needs urgent attention.,Hostel & Accommodation,Hostel & Accommodation
275,The new security system in hostels has made students feel much safer. This needs urgent attention.,Hostel & Accommodation,Hostel & Accommodation
276,"I wish there were more single occupancy rooms in the hostel. Overall, the experience has been mixed.",Hostel & Accommodation,Hostel & Accommodation
277,"I wish there were more single occupancy rooms in the hostel. It’s a step in the right direction, but more can be done.",Hostel & Accommodation,Hostel & Accommodation
278,"The new security system in hostels has made students feel much safer. Overall, the experience has been mixed.",Hostel & Accommodation,Hostel & Accommodation
279,"The hostel rooms are cleaned regularly, and the warden is responsive to issues. This needs urgent attention.",Hostel & Accommodation,Hostel & Accommodation
280,"The hostel rooms are cleaned regularly, and the warden is responsive to issues. Overall, the experience has been mixed.",Hostel & Accommodation,Hostel & Accommodation
281,"The hostel rooms are cleaned regularly, and the warden is responsive to issues. It’s a step in the right direction, but more can be done.",Hostel & Accommodation,Hostel & Accommodation
282,Water supply in the hostel has been irregular during weekends. Such improvements would greatly benefit everyone.,Hostel & Accommodation,Hostel & Accommodation
283,"The new security system in hostels has made students feel much safer. Overall, the experience has been mixed.",Hostel & Accommodation,Hostel & Accommodation
284,"Mess food is improving, but the quality can still be inconsistent. Overall, the experience has been mixed.",Hostel & Accommodation,Facility
285,Water supply in the hostel has been irregular during weekends. This needs urgent attention.,Hostel & Accommodation,Hostel & Accommodation
286,"Mess food is improving, but the quality can still be inconsistent. Such improvements would greatly benefit everyone.",Hostel & Accommodation,Facilities
287,The new security system in hostels has made students feel much safer. This needs urgent attention.,Hostel & Accommodation,Hostel & Accommodation
288,I wish there were more single occupancy rooms in the hostel. Such improvements would greatly benefit everyone.,Hostel & Accommodation,Hostel & Accommodation
289,"Mess food is improving, but the quality can still be inconsistent. It’s a step in the right direction, but more can be done.",Hostel & Accommodation,Facilities
290,"The hostel rooms are cleaned regularly, and the warden is responsive to issues. Such improvements would greatly benefit everyone.",Hostel & Accommodation,Hostel & Accommodation
291,"I wish there were more single occupancy rooms in the hostel. Overall, the experience has been mixed.",Hostel & Accommodation,Hostel & Accommodation
292,The new security system in hostels has made students feel much safer. Such improvements would greatly benefit everyone.,Hostel & Accommodation,Hostel & Accommodation
293,Water supply in the hostel has been irregular during weekends. It makes a real difference in daily student life.,Hostel & Accommodation,Hostel & Accommodation
294,"The new security system in hostels has made students feel much safer. It’s a step in the right direction, but more can be done.",Hostel & Accommodation,Hostel & Accommodation
295,"Mess food is improving, but the quality can still be inconsistent. It makes a real difference in daily student life.",Hostel & Accommodation,Facilities
296,"The hostel rooms are cleaned regularly, and the warden is responsive to issues. Overall, the experience has been mixed.",Hostel & Accommodation,Hostel & Accommodation
297,The new security system in hostels has made students feel much safer. It makes a real difference in daily student life.,Hostel & Accommodation,Hostel & Accommodation
298,"The new security system in hostels has made students feel much safer. Overall, the experience has been mixed.",Hostel & Accommodation,Hostel & Accommodation
299,"The hostel rooms are cleaned regularly, and the warden is responsive to issues. This needs urgent attention.",Hostel & Accommodation,Hostel & Accommodation
300,"I wish there were more single occupancy rooms in the hostel. It’s a step in the right direction, but more can be done.",Hostel & Accommodation,Hostel & Accommodation
301,"The Wi-Fi connectivity fluctuates a lot during peak hours. It’s a step in the right direction, but more can be done.",Technical Infrastructure,Technical Infrastructure
302,Printers in the library are always out of order or paper. It makes a real difference in daily student life.,Technical Infrastructure,Facilities
303,The Wi-Fi connectivity fluctuates a lot during peak hours. Such improvements would greatly benefit everyone.,Technical Infrastructure,Technical Infrastructure
304,The online exam system crashed multiple times last semester. Such improvements would greatly benefit everyone.,Technical Infrastructure,Technical Infrastructure
305,The online exam system crashed multiple times last semester. This needs urgent attention.,Technical Infrastructure,Technical Infrastructure
306,Computer labs are well-maintained and equipped with modern systems. It makes a real difference in daily student life.,Technical Infrastructure,Facilities
307,Computer labs are well-maintained and equipped with modern systems. This needs urgent attention.,Technical Infrastructure,Facilities
308,"The Wi-Fi connectivity fluctuates a lot during peak hours. It’s a step in the right direction, but more can be done.",Technical Infrastructure,Technical Infrastructure
309,The online exam system crashed multiple times last semester. Such improvements would greatly benefit everyone.,Technical Infrastructure,Technical Infrastructure
310,"Printers in the library are always out of order or paper. It’s a step in the right direction, but more can be done.",Technical Infrastructure,Facilities
311,The online exam system crashed multiple times last semester. It makes a real difference in daily student life.,Technical Infrastructure,Educational
312,"The Wi-Fi connectivity fluctuates a lot during peak hours. It’s a step in the right direction, but more can be done.",Technical Infrastructure,Technical Infrastructure
313,We need more charging points in classrooms and labs. Such improvements would greatly benefit everyone.,Technical Infrastructure,Facilities
314,Computer labs are well-maintained and equipped with modern systems. This needs urgent attention.,Technical Infrastructure,Facilities
315,We need more charging points in classrooms and labs. This needs urgent attention.,Technical Infrastructure,Facilities
316,The Wi-Fi connectivity fluctuates a lot during peak hours. Such improvements would greatly benefit everyone.,Technical Infrastructure,Technical Infrastructure
317,"Printers in the library are always out of order or paper. It’s a step in the right direction, but more can be done.",Technical Infrastructure,Facilities
318,Computer labs are well-maintained and equipped with modern systems. It makes a real difference in daily student life.,Technical Infrastructure,Facilities
319,We need more charging points in classrooms and labs. It makes a real difference in daily student life.,Technical Infrastructure,Facilities
320,"Printers in the library are always out of order or paper. It’s a step in the right direction, but more can be done.",Technical Infrastructure,Facilities
321,We need more charging points in classrooms and labs. Such improvements would greatly benefit everyone.,Technical Infrastructure,Facilities
322,We need more charging points in classrooms and labs. It makes a real difference in daily student life.,Technical Infrastructure,Facilities
323,"The Wi-Fi connectivity fluctuates a lot during peak hours. Overall, the experience has been mixed.",Technical Infrastructure,Technical Infrastructure
324,"The Wi-Fi connectivity fluctuates a lot during peak hours. Overall, the experience has been mixed.",Technical Infrastructure,Technical Infrastructure
325,"Computer labs are well-maintained and equipped with modern systems. Overall, the experience has been mixed.",Technical Infrastructure,Facility
326,We need more charging points in classrooms and labs. This needs urgent attention.,Technical Infrastructure,Facilities
327,Computer labs are well-maintained and equipped with modern systems. This needs urgent attention.,Technical Infrastructure,Facilities
328,We need more charging points in classrooms and labs. It makes a real difference in daily student life.,Technical Infrastructure,Facilities
329,Printers in the library are always out of order or paper. Such improvements would greatly benefit everyone.,Technical Infrastructure,Facilities
330,The online exam system crashed multiple times last semester. This needs urgent attention.,Technical Infrastructure,Technical Infrastructure
331,Printers in the library are always out of order or paper. Such improvements would greatly benefit everyone.,Technical Infrastructure,Facilities
332,"Printers in the library are always out of order or paper. Overall, the experience has been mixed.",Technical Infrastructure,Facilities
333,"The online exam system crashed multiple times last semester. It’s a step in the right direction, but more can be done.",Technical Infrastructure,Technical Infrastructure
334,The online exam system crashed multiple times last semester. It makes a real difference in daily student life.,Technical Infrastructure,Educational
335,Printers in the library are always out of order or paper. It makes a real difference in daily student life.,Technical Infrastructure,Facilities
336,Computer labs are well-maintained and equipped with modern systems. This needs urgent attention.,Technical Infrastructure,Facilities
337,The online exam system crashed multiple times last semester. This needs urgent attention.,Technical Infrastructure,Technical Infrastructure
338,"The Wi-Fi connectivity fluctuates a lot during peak hours. It’s a step in the right direction, but more can be done.",Technical Infrastructure,Technical Infrastructure
339,The online exam system crashed multiple times last semester. Such improvements would greatly benefit everyone.,Technical Infrastructure,Technical Infrastructure
340,We need more charging points in classrooms and labs. Such improvements would greatly benefit everyone.,Technical Infrastructure,Facilities
341,We need more charging points in classrooms and labs. Such improvements would greatly benefit everyone.,Technical Infrastructure,Facilities
342,Computer labs are well-maintained and equipped with modern systems. It makes a real difference in daily student life.,Technical Infrastructure,Facilities
343,Computer labs are well-maintained and equipped with modern systems. It makes a real difference in daily student life.,Technical Infrastructure,Facilities
344,Printers in the library are always out of order or paper. This needs urgent attention.,Technical Infrastructure,Facilities
345,We need more charging points in classrooms and labs. It makes a real difference in daily student life.,Technical Infrastructure,Facilities
346,The online exam system crashed multiple times last semester. This needs urgent attention.,Technical Infrastructure,Technical Infrastructure
347,Computer labs are well-maintained and equipped with modern systems. It makes a real difference in daily student life.,Technical Infrastructure,Facilities
348,"We need more charging points in classrooms and labs. It’s a step in the right direction, but more can be done.",Technical Infrastructure,Facilities
349,Computer labs are well-maintained and equipped with modern systems. Such improvements would greatly benefit everyone.,Technical Infrastructure,Facilities
350,Printers in the library are always out of order or paper. This needs urgent attention.,Technical Infrastructure,Facilities
351,The drama club put on a great performance this semester. This needs urgent attention.,Extracurricular Activities,Extracurricular Activities
352,Sometimes extracurricular activities clash with academic schedules. This needs urgent attention.,Extracurricular Activities,Extracurricular Activities
353,"The drama club put on a great performance this semester. Overall, the experience has been mixed.",Extracurricular Activities,Extracurricular Activities
354,The drama club put on a great performance this semester. This needs urgent attention.,Extracurricular Activities,Extracurricular Activities
355,"Workshops for music and dance are well-organized and enjoyable. It’s a step in the right direction, but more can be done.",Extracurricular Activities,Facilities
356,The drama club put on a great performance this semester. This needs urgent attention.,Extracurricular Activities,Extracurricular Activities
357,"We need more inter-departmental competitions and events. Overall, the experience has been mixed.",Extracurricular Activities,Extracurricular Activities
358,"The drama club put on a great performance this semester. Overall, the experience has been mixed.",Extracurricular Activities,Extracurricular Activities
359,Workshops for music and dance are well-organized and enjoyable. It makes a real difference in daily student life.,Extracurricular Activities,Extracurricular Activities
360,It would be great to have a coding club for beginners. Such improvements would greatly benefit everyone.,Extracurricular Activities,Educational
361,"We need more inter-departmental competitions and events. Overall, the experience has been mixed.",Extracurricular Activities,Extracurricular Activities
362,Workshops for music and dance are well-organized and enjoyable. It makes a real difference in daily student life.,Extracurricular Activities,Extracurricular Activities
363,We need more inter-departmental competitions and events. It makes a real difference in daily student life.,Extracurricular Activities,Extracurricular Activities
364,It would be great to have a coding club for beginners. It makes a real difference in daily student life.,Extracurricular Activities,Extracurricular Activities
365,It would be great to have a coding club for beginners. Such improvements would greatly benefit everyone.,Extracurricular Activities,Educational
366,It would be great to have a coding club for beginners. This needs urgent attention.,Extracurricular Activities,Educational
367,We need more inter-departmental competitions and events. Such improvements would greatly benefit everyone.,Extracurricular Activities,Extracurricular Activities
368,Sometimes extracurricular activities clash with academic schedules. Such improvements would greatly benefit everyone.,Extracurricular Activities,Extracurricular Activities
369,The drama club put on a great performance this semester. This needs urgent attention.,Extracurricular Activities,Extracurricular Activities
370,"Workshops for music and dance are well-organized and enjoyable. It’s a step in the right direction, but more can be done.",Extracurricular Activities,Facilities
371,"The drama club put on a great performance this semester. Overall, the experience has been mixed.",Extracurricular Activities,Extracurricular Activities
372,"The drama club put on a great performance this semester. Overall, the experience has been mixed.",Extracurricular Activities,Extracurricular Activities
373,We need more inter-departmental competitions and events. It makes a real difference in daily student life.,Extracurricular Activities,Extracurricular Activities
374,"We need more inter-departmental competitions and events. Overall, the experience has been mixed.",Extracurricular Activities,Extracurricular Activities
375,"Sometimes extracurricular activities clash with academic schedules. It’s a step in the right direction, but more can be done.",Extracurricular Activities,Extracurricular Activities
376,We need more inter-departmental competitions and events. This needs urgent attention.,Extracurricular Activities,Extracurricular Activities
377,We need more inter-departmental competitions and events. Such improvements would greatly benefit everyone.,Extracurricular Activities,Extracurricular Activities
378,"It would be great to have a coding club for beginners. It’s a step in the right direction, but more can be done.",Extracurricular Activities,Technical Infrastructure
379,The drama club put on a great performance this semester. It makes a real difference in daily student life.,Extracurricular Activities,Extracurricular Activities
380,We need more inter-departmental competitions and events. Such improvements would greatly benefit everyone.,Extracurricular Activities,Extracurricular Activities
381,We need more inter-departmental competitions and events. Such improvements would greatly benefit everyone.,Extracurricular Activities,Extracurricular Activities
382,Workshops for music and dance are well-organized and enjoyable. Such improvements would greatly benefit everyone.,Extracurricular Activities,Facilities
383,Sometimes extracurricular activities clash with academic schedules. It makes a real difference in daily student life.,Extracurricular Activities,Extracurricular Activities
384,Sometimes extracurricular activities clash with academic schedules. Such improvements would greatly benefit everyone.,Extracurricular Activities,Extracurricular Activities
385,"It would be great to have a coding club for beginners. It’s a step in the right direction, but more can be done.",Extracurricular Activities,Technical Infrastructure
386,"We need more inter-departmental competitions and events. It’s a step in the right direction, but more can be done.",Extracurricular Activities,Extracurricular Activities
387,Sometimes extracurricular activities clash with academic schedules. It makes a real difference in daily student life.,Extracurricular Activities,Extracurricular Activities
388,It would be great to have a coding club for beginners. Such improvements would greatly benefit everyone.,Extracurricular Activities,Educational
389,"Sometimes extracurricular activities clash with academic schedules. Overall, the experience has been mixed.",Extracurricular Activities,Extracurricular Activities
390,"Workshops for music and dance are well-organized and enjoyable. It’s a step in the right direction, but more can be done.",Extracurricular Activities,Facilities
391,The drama club put on a great performance this semester. Such improvements would greatly benefit everyone.,Extracurricular Activities,Extracurricular Activities
392,It would be great to have a coding club for beginners. It makes a real difference in daily student life.,Extracurricular Activities,Extracurricular Activities
393,Sometimes extracurricular activities clash with academic schedules. This needs urgent attention.,Extracurricular Activities,Extracurricular Activities
394,"Workshops for music and dance are well-organized and enjoyable. Overall, the experience has been mixed.",Extracurricular Activities,Placements & Internships
395,Sometimes extracurricular activities clash with academic schedules. This needs urgent attention.,Extracurricular Activities,Extracurricular Activities
396,"The drama club put on a great performance this semester. Overall, the experience has been mixed.",Extracurricular Activities,Extracurricular Activities
397,"The drama club put on a great performance this semester. It’s a step in the right direction, but more can be done.",Extracurricular Activities,Extracurricular Activities
398,It would be great to have a coding club for beginners. Such improvements would greatly benefit everyone.,Extracurricular Activities,Educational
399,"It would be great to have a coding club for beginners. Overall, the experience has been mixed.",Extracurricular Activities,Technical Infrastructure
400,It would be great to have a coding club for beginners. Such improvements would greatly benefit everyone.,Extracurricular Activities,Educational
401,"The college gym could use better equipment and ventilation. It’s a step in the right direction, but more can be done.",Health & Wellness,Facilities
402,"There needs to be more awareness about hygiene practices in the cafeteria. Overall, the experience has been mixed.",Health & Wellness,Facility
403,The campus medical center is quick to respond in emergencies. This needs urgent attention.,Health & Wellness,Facilities
404,There needs to be more awareness about hygiene practices in the cafeteria. It makes a real difference in daily student life.,Health & Wellness,Health & Wellness
405,The college gym could use better equipment and ventilation. Such improvements would greatly benefit everyone.,Health & Wellness,Facilities
406,The campus medical center is quick to respond in emergencies. This needs urgent attention.,Health & Wellness,Facilities
407,Health checkup camps organized by the college are really helpful. It makes a real difference in daily student life.,Health & Wellness,Health & Wellness
408,Health checkup camps organized by the college are really helpful. This needs urgent attention.,Health & Wellness,Health & Wellness
409,"The college gym could use better equipment and ventilation. Overall, the experience has been mixed.",Health & Wellness,Facilities
410,The college gym could use better equipment and ventilation. Such improvements would greatly benefit everyone.,Health & Wellness,Facilities
411,There needs to be more awareness about hygiene practices in the cafeteria. This needs urgent attention.,Health & Wellness,Health & Wellness
412,Mental health support services should be expanded. It makes a real difference in daily student life.,Health & Wellness,Health & Wellness
413,Mental health support services should be expanded. This needs urgent attention.,Health & Wellness,Health & Wellness
414,There needs to be more awareness about hygiene practices in the cafeteria. Such improvements would greatly benefit everyone.,Health & Wellness,Health & Wellness
415,"The college gym could use better equipment and ventilation. It’s a step in the right direction, but more can be done.",Health & Wellness,Facilities
416,The college gym could use better equipment and ventilation. It makes a real difference in daily student life.,Health & Wellness,Facilities
417,The college gym could use better equipment and ventilation. Such improvements would greatly benefit everyone.,Health & Wellness,Facilities
418,There needs to be more awareness about hygiene practices in the cafeteria. This needs urgent attention.,Health & Wellness,Health & Wellness
419,Mental health support services should be expanded. Such improvements would greatly benefit everyone.,Health & Wellness,Health & Wellness
420,"The college gym could use better equipment and ventilation. Overall, the experience has been mixed.",Health & Wellness,Facilities
421,"The campus medical center is quick to respond in emergencies. Overall, the experience has been mixed.",Health & Wellness,Facilities
422,"Health checkup camps organized by the college are really helpful. It’s a step in the right direction, but more can be done.",Health & Wellness,Health & Wellness
423,The college gym could use better equipment and ventilation. It makes a real difference in daily student life.,Health & Wellness,Facilities
424,"Health checkup camps organized by the college are really helpful. Overall, the experience has been mixed.",Health & Wellness,Health & Wellness
425,Health checkup camps organized by the college are really helpful. This needs urgent attention.,Health & Wellness,Health & Wellness
426,Health checkup camps organized by the college are really helpful. This needs urgent attention.,Health & Wellness,Health & Wellness
427,"The campus medical center is quick to respond in emergencies. It’s a step in the right direction, but more can be done.",Health & Wellness,Facilities
428,Health checkup camps organized by the college are really helpful. Such improvements would greatly benefit everyone.,Health & Wellness,Health & Wellness
429,"Health checkup camps organized by the college are really helpful. It’s a step in the right direction, but more can be done.",Health & Wellness,Health & Wellness
430,There needs to be more awareness about hygiene practices in the cafeteria. This needs urgent attention.,Health & Wellness,Health & Wellness
431,Mental health support services should be expanded. Such improvements would greatly benefit everyone.,Health & Wellness,Health & Wellness
432,The college gym could use better equipment and ventilation. It makes a real difference in daily student life.,Health & Wellness,Facilities
433,"The campus medical center is quick to respond in emergencies. Overall, the experience has been mixed.",Health & Wellness,Facilities
434,There needs to be more awareness about hygiene practices in the cafeteria. Such improvements would greatly benefit everyone.,Health & Wellness,Health & Wellness
435,The campus medical center is quick to respond in emergencies. It makes a real difference in daily student life.,Health & Wellness,Facilities
436,There needs to be more awareness about hygiene practices in the cafeteria. It makes a real difference in daily student life.,Health & Wellness,Health & Wellness
437,Mental health support services should be expanded. Such improvements would greatly benefit everyone.,Health & Wellness,Health & Wellness
438,Health checkup camps organized by the college are really helpful. Such improvements would greatly benefit everyone.,Health & Wellness,Health & Wellness
439,Mental health support services should be expanded. This needs urgent attention.,Health & Wellness,Health & Wellness
440,"The campus medical center is quick to respond in emergencies. It’s a step in the right direction, but more can be done.",Health & Wellness,Facilities
441,The college gym could use better equipment and ventilation. It makes a real difference in daily student life.,Health & Wellness,Facilities
442,"Health checkup camps organized by the college are really helpful. It’s a step in the right direction, but more can be done.",Health & Wellness,Health & Wellness
443,There needs to be more awareness about hygiene practices in the cafeteria. Such improvements would greatly benefit everyone.,Health & Wellness,Health & Wellness
444,"There needs to be more awareness about hygiene practices in the cafeteria. It’s a step in the right direction, but more can be done.",Health & Wellness,Health & Wellness
445,The campus medical center is quick to respond in emergencies. Such improvements would greatly benefit everyone.,Health & Wellness,Facilities
446,There needs to be more awareness about hygiene practices in the cafeteria. Such improvements would greatly benefit everyone.,Health & Wellness,Health & Wellness
447,The campus medical center is quick to respond in emergencies. This needs urgent attention.,Health & Wellness,Facilities
448,"There needs to be more awareness about hygiene practices in the cafeteria. Overall, the experience has been mixed.",Health & Wellness,Facility
449,"Mental health support services should be expanded. Overall, the experience has been mixed.",Health & Wellness,Health & Wellness
450,"Mental health support services should be expanded. It’s a step in the right direction, but more can be done.",Health & Wellness,Health & Wellness
451,Shuttle services between hostels and main campus are very convenient. It makes a real difference in daily student life.,Transport & Accessibility,Transport & Accessibility
452,Accessibility for differently-abled students should be improved. Such improvements would greatly benefit everyone.,Transport & Accessibility,Accessibility
453,The footpaths near the entrance are broken and difficult to walk on. Such improvements would greatly benefit everyone.,Transport & Accessibility,Facilities
454,The college should increase parking space for students’ vehicles. It makes a real difference in daily student life.,Transport & Accessibility,Facilities
455,"Buses often arrive late in the evening, especially for students in remote areas. It makes a real difference in daily student life.",Transport & Accessibility,Transport & Accessibility
456,"Shuttle services between hostels and main campus are very convenient. Overall, the experience has been mixed.",Transport & Accessibility,Transport & Accessibility
457,The college should increase parking space for students’ vehicles. This needs urgent attention.,Transport & Accessibility,Facilities
458,"Buses often arrive late in the evening, especially for students in remote areas. This needs urgent attention.",Transport & Accessibility,Transport & Accessibility
459,"Accessibility for differently-abled students should be improved. Overall, the experience has been mixed.",Transport & Accessibility,Facility
460,"Accessibility for differently-abled students should be improved. It’s a step in the right direction, but more can be done.",Transport & Accessibility,Accessibility
461,Accessibility for differently-abled students should be improved. This needs urgent attention.,Transport & Accessibility,Accessibility
462,"The college should increase parking space for students’ vehicles. Overall, the experience has been mixed.",Transport & Accessibility,Facilities
463,The college should increase parking space for students’ vehicles. It makes a real difference in daily student life.,Transport & Accessibility,Facilities
464,"The footpaths near the entrance are broken and difficult to walk on. It’s a step in the right direction, but more can be done.",Transport & Accessibility,Facilities
465,"Shuttle services between hostels and main campus are very convenient. It’s a step in the right direction, but more can be done.",Transport & Accessibility,Transport & Accessibility
466,"The college should increase parking space for students’ vehicles. Overall, the experience has been mixed.",Transport & Accessibility,Facilities
467,Shuttle services between hostels and main campus are very convenient. It makes a real difference in daily student life.,Transport & Accessibility,Transport & Accessibility
468,The college should increase parking space for students’ vehicles. It makes a real difference in daily student life.,Transport & Accessibility,Facilities
469,The footpaths near the entrance are broken and difficult to walk on. Such improvements would greatly benefit everyone.,Transport & Accessibility,Facilities
470,"The college should increase parking space for students’ vehicles. It’s a step in the right direction, but more can be done.",Transport & Accessibility,Facilities
471,"Shuttle services between hostels and main campus are very convenient. Overall, the experience has been mixed.",Transport & Accessibility,Transport & Accessibility
472,Shuttle services between hostels and main campus are very convenient. Such improvements would greatly benefit everyone.,Transport & Accessibility,Transport & Accessibility
473,"Buses often arrive late in the evening, especially for students in remote areas. It’s a step in the right direction, but more can be done.",Transport & Accessibility,Transport & Accessibility
474,"Accessibility for differently-abled students should be improved. Overall, the experience has been mixed.",Transport & Accessibility,Facility
475,The footpaths near the entrance are broken and difficult to walk on. This needs urgent attention.,Transport & Accessibility,Transport & Accessibility
476,"Buses often arrive late in the evening, especially for students in remote areas. This needs urgent attention.",Transport & Accessibility,Transport & Accessibility
477,"Buses often arrive late in the evening, especially for students in remote areas. It’s a step in the right direction, but more can be done.",Transport & Accessibility,Transport & Accessibility
478,The footpaths near the entrance are broken and difficult to walk on. Such improvements would greatly benefit everyone.,Transport & Accessibility,Facilities
479,"Shuttle services between hostels and main campus are very convenient. Overall, the experience has been mixed.",Transport & Accessibility,Transport & Accessibility
480,The footpaths near the entrance are broken and difficult to walk on. This needs urgent attention.,Transport & Accessibility,Transport & Accessibility
481,The college should increase parking space for students’ vehicles. It makes a real difference in daily student life.,Transport & Accessibility,Facilities
482,"Accessibility for differently-abled students should be improved. It’s a step in the right direction, but more can be done.",Transport & Accessibility,Accessibility
483,The college should increase parking space for students’ vehicles. It makes a real difference in daily student life.,Transport & Accessibility,Facilities
484,"Buses often arrive late in the evening, especially for students in remote areas. Overall, the experience has been mixed.",Transport & Accessibility,Transport & Accessibility
485,Accessibility for differently-abled students should be improved. This needs urgent attention.,Transport & Accessibility,Accessibility
486,"The footpaths near the entrance are broken and difficult to walk on. It’s a step in the right direction, but more can be done.",Transport & Accessibility,Facilities
487,"Shuttle services between hostels and main campus are very convenient. Overall, the experience has been mixed.",Transport & Accessibility,Transport & Accessibility
488,The college should increase parking space for students’ vehicles. This needs urgent attention.,Transport & Accessibility,Facilities
489,"Accessibility for differently-abled students should be improved. Overall, the experience has been mixed.",Transport & Accessibility,Facility
490,The college should increase parking space for students’ vehicles. It makes a real difference in daily student life.,Transport & Accessibility,Facilities
491,"Accessibility for differently-abled students should be improved. It’s a step in the right direction, but more can be done.",Transport & Accessibility,Accessibility
492,"The college should increase parking space for students’ vehicles. It’s a step in the right direction, but more can be done.",Transport & Accessibility,Facilities
493,The college should increase parking space for students’ vehicles. It makes a real difference in daily student life.,Transport & Accessibility,Facilities
494,"The college should increase parking space for students’ vehicles. It’s a step in the right direction, but more can be done.",Transport & Accessibility,Facilities
495,"The college should increase parking space for students’ vehicles. It’s a step in the right direction, but more can be done.",Transport & Accessibility,Facilities
496,Shuttle services between hostels and main campus are very convenient. It makes a real difference in daily student life.,Transport & Accessibility,Transport & Accessibility
497,The footpaths near the entrance are broken and difficult to walk on. It makes a real difference in daily student life.,Transport & Accessibility,Facilities
498,"The college should increase parking space for students’ vehicles. It’s a step in the right direction, but more can be done.",Transport & Accessibility,Facilities
499,The footpaths near the entrance are broken and difficult to walk on. It makes a real difference in daily student life.,Transport & Accessibility,Facilities
500,The footpaths near the entrance are broken and difficult to walk on. This needs urgent attention.,Transport & Accessibility,Transport & Accessibility
